SubVertical,total_funding
Ecommerce portal for senior citizens,1000000.0
On-Demand Drivers,1000000.0
Last mile Delivery Network,1000000.0
Mobile Learning Management Platform,1000000.0
Pregnancy & Baby Care product etailer,1000000.0
Logistics Solutions,1000000.0
Last Minute Hotel Bookings mobile marketplace,1000000.0
Customer Success Software for B2B SaaS,1000000.0
Cabs,1000000.0
Construction material eTailer,1000000.0
Credit Scoring Platform,1000000.0
Online Used Car marketplace,1000000.0
premium Tea and Coffee,1000000.0
Solar Power Solutions,1000000.0
Retail Food & Snack Offline centres,1000000.0
Real time data analytics & reporting,1000000.0
Office Products Super Store,1000000.0
Insurance Marketplace for the Rural Sector,1000000.0
Hygiene,1000000.0
Consumer Financing Platform,1000000.0
Smart Learning products,1000000.0
Cold-press Juices manufacturer,1000000.0
Hygiene care product manufacturer,1000000.0
POS For Online Ordering,1000000.0
Co-Working Spaces,1000000.0
Software & Mobile development services,1000000.0
Home Furnishing & Building material marketplace,1000000.0
Enterprise Work Management Software,1000000.0
"Sales, Market, Distribution & Data Analytics Platform",1000000.0
Data Intelligence & Analytics,1000000.0
Financial Services & Analytics Education Institute,1000000.0
Vernacular and Video Content Platform,1000000.0
Personalized Products & Merchandize eTailer,1000000.0
University Admissions,1000000.0
Defense Tech & Aerospace startup,1000000.0
Free Interactive education platform,1000000.0
Online Doctor Consultations,1000000.0
Parenting Mobile app,1000000.0
Car repair and Servicing Platform,1000000.0
On-Demand Task Management App,1000000.0
"Online Travel, Adventure & Activities Portal",1000000.0
Digital Media Video platform,1000000.0
Fashion Accessories Etailer,1000000.0
Gamified Consumer Insights Portal,1000000.0
Internet & Fresher Job platform,1000000.0
Self-Publishing books platform,1000000.0
Hyperlocal Discovery,1000000.0
Hyperlocal home services provider,1000000.0
Dynamic Restaurant Website creator,1000000.0
Live Online Coaching Classes,1000000.0
Out-Station Taxi Rental Platform,1000000.0
Video Based Collaborative Learning,1000000.0
Beauty & Wellness Platform,1000000.0
Queue management Mobile app,1000000.0
Peer to Peer Lending platform,1000000.0
shared living and working spaces platform,1000000.0
Talent Discovery & Audition management platform,1000000.0
Fitness center aggregator & Booking mobile app,1000000.0
Virtual Health Clinic for Women,1000000.0
Online legal Services for Startups,1000000.0
Mobile app for Mental Health,1000000.0
Location-based offline retail discovery platform,1000000.0
Bitcoin Buying & Selling Mobile App,1000000.0
Online Tax Filing Portal,1000000.0
Bus Aggregator Mobile app,1000000.0
Foreign Currency Payments Platform,1000000.0
Local Recommendations and Discoveries Platform,1000000.0
Online Fitness Marketplace,1000000.0
Video Based Doctor Consulting platform App,1000000.0
Holy Platform Offering Customised Puja Packages To Individuals and Corporates,1000000.0
Tutor Search Platform,1000000.0
Online investment platform,1000000.0
Online Car rental booking platform,1000000.0
Social Media Marketing platform,1000000.0
Healthcare Aggregator,1000000.0
Consumer Lending Platform,1000000.0
Golf Session Online Bookings platform,1000000.0
Mobile App for SAAS based Training,1000000.0
Mobile based social networking platform,1000000.0
Online Car & Bike Insurance Comparison portal,1000000.0
Online Marketplace for Wedding Venues and vendors,1000000.0
Hyperlocal Grocery Delivery Service,1000000.0
B2C Online Loans Marketplace,978000.0
Truck Fleet Operation platform,971000.0
Data analytics based Verification services Platform,970000.0
Hyperlocal Shopping App,963000.0
P2P Lending Platform,960000.0
Online Selling,935089.0
Edutainment platform,900000.0
Home Automation Solutions,900000.0
Banking Software License Platform,900000.0
Home rental Discovery & Booking Portal,900000.0
Hyperlocal doorstep Beauty Services provider,900000.0
Mobile Based Bollywood Discovery platform,890000.0
Enrolment Management Platform,872000.0
healthcare service aggregator,850000.0
IoT & SAAS Solutions for Transportation Industry,825000.0
Platform for travel agents,800000.0
SAAS Based Retail Analytics Solutions,800000.0
Doctor Discovery and booking platform,800000.0
Agriculture Supply Chain solutions,783000.0
Telecom & IoT platform,780000.0
Online Unsecured Lending platform,780000.0
Online rooms aggregation platform,776000.0
"TV Search, Guide and Remote mobile app",750000.0
School Student admissions platform,750000.0
Invoice discounting\\xc2\\xa0 Marketplace,750000.0
Business intelligence and data science Startup,750000.0
Super speciality Hospitals,750000.0
Wearable Technology platform & devices,750000.0
Healthtech IoT platform,750000.0
Healthcare related content platform,750000.0
Couple Socialization App,750000.0
Online printing marketplace,750000.0
Women\\xe2\\x80\\x99s health Tracker,750000.0
SAAS application for Pharma Industry,745000.0
Online Merchandize etailer,740000.0
Products For Shoolgoing Children,735000.0
E-Tech platform,734000.0
Hyperlocal Content,700000.0
Online payments platform,700000.0
Private Label Fashion etailer,700000.0
Custom & Modular Furniture platform,700000.0
Doctor Consulting platform,700000.0
Mobile Marketplace for Crowdsourced Work,700000.0
Self riding bike rental program,692000.0
Mobile security solutions,675000.0
Online Test Preparation platform,670000.0
Self-Checkout ECommerce App,650000.0
Online Tea etailer,650000.0
Cash Flow Management Solution for Businesses,650000.0
Daily Task Management App,650000.0
Online Food Ordering platform,650000.0
Online Salon discovery & Booking Services,620000.0
SDN Solutions,600000.0
Men\\xe2\\x80\\x99s Grooming Product etailer,600000.0
Anti-Pollution,600000.0
Gamified Learning App,600000.0
Bot Protection Solutions,600000.0
Markerless AR platform,600000.0
EduTech Platform,600000.0
Help Hiring Platform,600000.0
health and fitness discovery platform,600000.0
Mobile Wallet Aggregation platform,600000.0
On-demand 2-wheeler Servicing platform,600000.0
Online Food Ordering & Delivery Startup,600000.0
Community Building platform,600000.0
Online Wedding Information Portal,600000.0
Tech-focused cargo transport startup,595000.0
Inter-City Taxi Booking platform,595000.0
Online Tutoring Services,580000.0
"Video-based certification, trainings",572000.0
Business & SME Loans provider,570000.0
Ready-to-Drink Beverage Producer,550000.0
Contract Automation,550000.0
"on-demand, hyper-local Cleaning services provider",550000.0
Construction site operations and analytics platform,540000.0
Beauty Products Online Marketplace,537000.0
News portal,535000.0
Carpooling Mobile App,520000.0
Home Automation & Security Solutions,515000.0
Virtual Reality,500000.0
AR & VR platform,500000.0
Affordable non-emergency medical service health plans,500000.0
Bicycle sharing Platform,500000.0
Micro Lending Platform for eCommerce purchases,500000.0
Virtual Reality Solutions,500000.0
Integrated Kids Engagement Company,500000.0
Cloud Data Security & Privacy Solutions,500000.0
Digital Vending Machine,500000.0
Mens Grooming products etailer,500000.0
Online gadget Repair Services Marketplace,500000.0
Technology enabled equitable healthcare for India,500000.0
Intelligent Tech platform for Finance vertical,500000.0
Data Analytics & Audience Management Platform,500000.0
Home diagnostics services provider,500000.0
Location based Classified Mobile app,500000.0
Unified Global Investments Ecosystem,500000.0
Mobile e-Sports,500000.0
Home Furnishing rental marketplace,500000.0
Fashion ECommerce Portal,500000.0
Project Management tool,500000.0
Packaging Artwork Management software,500000.0
Dreams fulfilling marketplace,500000.0
Online Jewellery Store,500000.0
Software & Mobile app development platform,500000.0
Low carb food for Diabetics,500000.0
VR based Spiritual platform,500000.0
Herbal energy shot maker,500000.0
Car Wash,500000.0
Online Car repair Marketplace,500000.0
Social Discovery Mobile app,500000.0
Online Truck Aggregator & Booking platform,500000.0
Mobile based rewards platform,500000.0
Online bike service and repairs platform,500000.0
Online Gift Vouchers platform,500000.0
Web Video Streaming Platform,500000.0
"Cashless, paperless solutions for Housing societies",500000.0
GRC SAAS Platform,500000.0
Online Platform For Luxury Hotel Stay For Business Travelers,500000.0
Instant Mobile Apps Store,500000.0
Credit Report Info platform,500000.0
Free Online Education Platform,500000.0
App based Doctor Consulting platform,500000.0
Online Bike Rental platform,500000.0
Online peer-to-peer lending platform,500000.0
DIY Ecommerce platform,500000.0
Online Crowdfunding platform for NGOs & Social Projects,500000.0
Bike Taxi Service & Hyperlocal Delivery App,500000.0
Cab Aggregating Platform,500000.0
Seed Investment & Innovation Platform,500000.0
Branded Camping location Aggregator,500000.0
Photo and Video Sharing App,500000.0
Micro Grocery Delivery Platform,500000.0
On Demand Digital Sports Network,500000.0
Mobile-based Social Platform for Sports,500000.0
Photo Sharing Mobile App,500000.0
Campus Social Networking App,500000.0
Local homes booking platform,500000.0
Micro Food Delivery platform,500000.0
Online Car Service Platform,500000.0
Personal Finance Mobile App,500000.0
online to offline marketing platform,500000.0
Cross Platform P2P file sharing mobile app,500000.0
Men's Health and Wellness brand,486000.0
Celebrity Entertainment Contest App,475000.0
Digital money transfer platform,466000.0
Video Content Discovery Platform,464000.0
Content Management & Productivity platform,450000.0
Personalized precious Jewellery etailer,450000.0
waterless car washing solution,450000.0
Mass Market Mutual Fund Investment Platform,450000.0
rooftop solar platform,450000.0
Online Counselling Platform,450000.0
Taxi Rental Platform,450000.0
Children\\xe2\\x80\\x99s Entertainment Portal,450000.0
on-demand chauffeur provider,450000.0
Online health & Wellness platform,450000.0
Children\xe2\x80\x99s Entertainment Games & Products,450000.0
Contact Management Mobile App,450000.0
Mobile based Children health Information app,450000.0
Digital Media and Entertainment Startup,448000.0
Personal Styling Online platform,448000.0
"Original Art, Digital Prints etailer",445000.0
Educational College Search platform,445000.0
Female Hygiene product manufacturer,443000.0
Food Discovery Platform,441000.0
Online Investment Advisory platform,440000.0
Online Math Learn,440000.0
Gadgets Repair & Service Booking platform,440000.0
Online Platform For Risk-Assessment Services For Real Estate Investments,440000.0
Online Platform That Connects Brands With Freelance Sales Professionals,437000.0
Nanotechnology Company Specializing In Graphene,436000.0
Algorithmic Trading,434600.0
Waste Management,430665.0
Video Platform,430200.0
Mobile Game Publisher for Indian audience,425000.0
Bike Aggregator Mobile App,422000.0
Personalisation Technology Firm Focusing On The Food And Beverage Industry,400000.0
Managed Cloud Environment Solutions,400000.0
Fintech Product Development & Services Startup,400000.0
Predictive Healthcare platform,400000.0
Expense Management Solution,400000.0
Online Media Platform,400000.0
Self Drive Car Rental,400000.0
Online wedding services marketplace,400000.0
mobile platform for corporate employee benefits,400000.0
Real estate risk assessment platform,390000.0
Unsecured Small Business Loans,385000.0
supply chain automation platform,382000.0
Parking Technology Platform,376000.0
Online Logistics Marketplace,375000.0
Online Hair Extension etailer,375000.0
Aadhar based Document Signing platform,375000.0
Cloud Based Software Solutions,375000.0
Online Food Ordering & Delivery Portal,375000.0
Medical Supplies eTailer,373608.0
Vegetables & Fruits Supply Chain,370000.0
QSR Chain,368000.0
Online Tax Filing platform,366000.0
Online Credit management tools,360000.0
Warehouse Automation,350000.0
Drone operations management platform,350000.0
Mobile Gaming Platform,350000.0
Mobile-based social networking platform,350000.0
On-Demand Washing & Dry Cleaning Services,350000.0
App-based Investment advisory Services,350000.0
Education Technology platform,336000.0
Parenting Mobile App,330000.0
Healthcare related solutions,330000.0
Bike and Taxi pooling online platform,329230.0
Vacation Trip Planning platform,325000.0
Career Planning & Assessment platform,324000.0
Full-stack career platform,319605.0
Study Material Marketplace,315000.0
Personal Loans & EMI solutions platform,312000.0
Automobile parts marketplace,311000.0
Mobile App for Schools,310000.0
Social Media Anlaytics Platform,307600.0
Education collaboration platform,306000.0
Robotic Classes for Students,300000.0
Electric bike rental,300000.0
Online Video Creation Platform,300000.0
Cloud-based construction,300000.0
Online Pharmacy store,300000.0
An Online Platform That Connects Ayurveda Doctors With Patients,300000.0
Data Sciences Platform,300000.0
Personal care product etailer,300000.0
Online Marketplace for Schools,300000.0
On-Demand Logistics Service provider,300000.0
GPS based SaaS Solutions,300000.0
Hyperlocal\\xc2\\xa0 Communication Mobile app,300000.0
Hyper-local Handyman Service provider,300000.0
Beauty Salon Aggregator,300000.0
Local Language Health Information portal,300000.0
App based Travel Discovery and Transactions platform,300000.0
Mobile based ecommerce platform,300000.0
Price Comparison Portal,300000.0
Travel & adventure planning platform,300000.0
Child healthcare experts aggregator mobile app,300000.0
Online Household Product Rental platform,300000.0
Online Peer to Peer Funding,300000.0
On-demand Personal Assistant service,300000.0
Online Bike & Car Services provider,300000.0
Online Book etailer,298000.0
Online Share & Commodity Broking platform,297000.0
"Wedding Wishlist, Gifts & Registry Creation platform",297000.0
Oxygen Optimiser Manufacturer,293000.0
Media Analytics,280000.0
Personalized Learning,278000.0
Employee Onboarding and Engagement platform,275000.0
Gadget Repair Services Platform,275000.0
AI based pharmacy drugs insights platform,250000.0
Travel Package Marketplace,250000.0
Mobile App for Network of Doctors,250000.0
Fashion ECommerce App,250000.0
"Furniture, appliances Portal",250000.0
AI platform for hospitality industry,250000.0
Fleet management and asset monitoring platform,250000.0
IoT and SaaS based transportation platform,250000.0
Expense Management,250000.0
Full Stack Offline & Online ERP Solution,250000.0
Online & Mobile learning for kids,250000.0
Online Car servicing Booking platform,250000.0
ambulance aggregator and medical taxi provider,250000.0
Personalized Fashion App,250000.0
Hyperlocal Beauty Services platform,250000.0
Online Recruitment Platform,250000.0
Mobile Apps SaaS Platform,250000.0
Food Ordering Mobile App,250000.0
Online Financial Planning,250000.0
Train PNR Status Prediction Platform,250000.0
home maintenance services platform,250000.0
Online Investment management portal,250000.0
Mobile based Referral Platform,250000.0
hyperlocal delivery and logistics mobile app,250000.0
CoWorking Spaces booking platform,245000.0
Hospital Management Software,243000.0
inter-city cab aggregator,240000.0
"Education Network for Institutions, teachers & Students",235000.0
"Online Marketplace for Renting Bikes, Electronics & Appliances",234000.0
Fashion and Lifestyle Coupon Platform,233000.0
Money Savings & Management App,233000.0
Health coaching programs,232000.0
Ondemand Concierge Service,230000.0
Motorbike rental platform,227000.0
Online Outdoors & travel,225000.0
Waste Recycle Management platform,225000.0
foreign exchange services,220000.0
Student focussed Content Discovery portal,220000.0
Quick Service Restaurants,218000.0
Artificial Intelligence based platform,215000.0
School Parent Communication App,210000.0
Online Tutoring Service provider,209000.0
Online Construction Materials Marketplace,200000.0
ECommerce SAAS Solutions,200000.0
Solar Rooftop system installation company,200000.0
Art & Craft Marketplace,200000.0
"AI, Machine learning Solutions",200000.0
Safe driving Analytics platform,200000.0
Artificial Intelligence based marketing platform,200000.0
Specialized Patient Care platform,200000.0
Organic wellness,200000.0
Tech-enabled Fashion Talent platform,200000.0
Online Marketplace for Construction Material,200000.0
Telecom & Media IT services company,200000.0
Storytelling platform,200000.0
Custom Furniture Online,200000.0
Home Healthcare Aggregator,200000.0
Doctor & Clinic\\xc2\\xa0 Discovery Platform,200000.0
P2P Lending platform,200000.0
Social discovery platform,200000.0
Road Trip planning Mobile app,200000.0
Shuttle Service Provider,200000.0
Hindi Language Social Networking Portal,200000.0
Mobile based Logistics provider,200000.0
Community services platform,200000.0
Online medical support platform,200000.0
Fitness related Social Networking App & Forum,200000.0
Assisted Learning Startup,200000.0
Employee engagement platform,200000.0
Tech-Enabled Social Enterprise,191000.0
Building material online store,187000.0
Indians focused Matchmaking App,185000.0
Local Commerce Platform,180000.0
Skill Learning Platform,180000.0
Artificial intelligence-based sales acceleration software platform,180000.0
Car driver Discovery App,180000.0
Hyperlocal Home Maintenance services,180000.0
A Doctor-Patient Engagement Platform,175000.0
Healthy Snacks manufacturer,175000.0
Hyperlocal Advertising Platform,175000.0
Online Vegetable eTailer,162000.0
Online Fitness & Educational information Aggregator,160000.0
Online Furniture Customization platform,160000.0
Hyperlocal Home Services Provider,160000.0
IoT Platform for Bus,155000.0
Offline Business Aggregator App,155000.0
3D Printing Solutions for Edu space,150000.0
Ethnic Indian Fashion Marketplace,150000.0
Medical Tourism platform,150000.0
Senior Healthcare Services,150000.0
Advertising Technology,150000.0
Medicine Intake Reminder System,150000.0
Beauty Products & Training to Salons & Spas,150000.0
SaaS platform for SMEs,150000.0
Fin-Tech,150000.0
Ecommerce enabler platform,150000.0
AI-based Software as a Service Solution provider,150000.0
Online Platform Providing Micro Loans For Air Travel,150000.0
Sports & Sport related equipment portal,150000.0
Unified Push Notification service,150000.0
Social Health Networking Platform,150000.0
Photography curation & Aggregator platform,150000.0
Online invoice app for SMEs,150000.0
Mobile Payments Platform,150000.0
Subscription-based grocery delivery Mobile App,150000.0
Jobs & Skill Validation platform,150000.0
Hotel reservations & Deal platform,150000.0
Fashion and Lifestyle discovery platform,150000.0
Ride Sharing platform,150000.0
Online Platform for Event Sponsorship,150000.0
Hotel Booking platform,150000.0
Expert Advice Platform,150000.0
Assessment & Learning Platform,149000.0
Online Pet Care Products,148434.0
Free Door Step Scrap Pickup Service,148000.0
Mobile Contacts Management app,147000.0
Product Photography Mobile App,147000.0
Logistics and truck aggregator platform,147000.0
App based networking platform,147000.0
Short News Mobile App,147000.0
IoT retail solutions,145000.0
Consulting,145000.0
Regional Flavours,138995.0
Cloud Analytics and Management Products,125000.0
Sales Analytics and Enablement Platform,125000.0
Online Doctor Discovery Platform,125000.0
Holiday Packages provider,123000.0
Bike Rental Platform,120000.0
Payments Platform for Marketplaces and Fintechs,120000.0
Subscription based Home Delivery Platform,120000.0
Online Home Rental Marketplace,120000.0
Machine learning based parking discovery,118000.0
Car/ bike Pooling App,108000.0
IoT solutions for home automation applications,106000.0
Fruit & Vegetable Delivery platform,104000.0
Mobile Based Education platform,100000.0
Electric Bike Manufacturer,100000.0
Android utility app suite creator,100000.0
Child Disorder Information & Education,100000.0
Clinical Imaging Solution Provider,100000.0
Software solutions for M&As,100000.0
LiFi based wireless communication provider,100000.0
Interior Painting Automation,100000.0
Engineering Interview facilitation platform,100000.0
Mobility Devices for differently abled,100000.0
Auto Spare Parts eTailer,100000.0
Post merger Integration Partners,100000.0
contextual mobile advertising,100000.0
Baby Monitoring Devices manufacturer,100000.0
Clinical and Wearable Diagnostic Product creator,100000.0
Online health-on-demand platform,100000.0
proximity based\\xc2\\xa0 Rewards platform,100000.0
On-demand home services provider,100000.0
Ad Network,100000.0
Personal Finance platform,100000.0
Mobile App discovery and review platform,100000.0
Medical Support service platform,100000.0
Doctor & Clinic Discovery portal,100000.0
Personal Fashion Stylist App,100000.0
Healthy Food Delivery platform,100000.0
Financial Services For Unorganized Workforce,100000.0
Online Spa & Salon discovery & Booking platform,100000.0
Music Discovery Mobile App,100000.0
Healthcare services portal,100000.0
City based News Aggregator App,100000.0
Entry-Level job Seekers platform,100000.0
Online Notes Sharing Portal,100000.0
peer-to-peer renting Marketplace,100000.0
Online Jewellery etailer,94000.0
"Online food, Grocery ordering & Delivery",90000.0
Fashion Discovery platform,89000.0
Optical Store Aggregator Platform,81000.0
Logistics and Warehousing services,75000.0
Truck Aggregator & Booking platform,75000.0
Health related Information portal,73000.0
Party Supplies Etailer,70000.0
Used Furniture Marketplace,68000.0
Healthcare Services & Online Pharmacy Mobile App,52000.0
Energy Analytics startup,50000.0
Visual Content Marketing,50000.0
Educational Platform to Learn Mathematics,50000.0
Online jewellery marketplace,50000.0
Assisting Visually Impaired to learn through Braille,50000.0
Events & Restaurant Discovery Marketplace App,50000.0
Professional Driver discovery & Booking Mobile app,50000.0
social messaging platform,50000.0
Doctor & Hospital search Platform,50000.0
Mobile-Based Education Network,46140.0
Online ordering & Delivery of medicines,45000.0
Career Planning and Education Advisory Platform,45000.0
Solution provider for pet needs,40000.0
Indoor Skydiving Sports Provider,40000.0
Social Meeting organizer App,40000.0
First Aid care app,40000.0
Online Health Diagnosis platform,40000.0
Photo Sharing for Groups,40000.0
Online Education Portal,40000.0
Identity management platform,39000.0
Mobile Fashion App,37000.0
Fragrances & Perfume eTailer,30000.0
Online Sports discovery and booking platform,30000.0
Book Recommendation Service,30000.0
Online Vehicle Services Booking platform,30000.0
e-Book Publisher,30000.0
Travel Ticket Booking Software,27000.0
Online News portal,25000.0
Audio Technology Solutions,22500.0
Cloud based Virtual Servers,22500.0
Augmented Reality Solutions,22500.0
Mobile Email productivity tool,22500.0
Marketing Automation platform,22500.0
Smart Online address tags,18000.0
Eyewear,
Virtual Reality platform,
Credit + payment mobile app,
Computer Vision on Embedded Systems,
Indian Sweets & Snacks etailer,
Car Rental Software Solutions,
cloud-based software solutions company,
Apparel Rental platform,
App building platform,
Mobile games creator,
SAAS based sales force automation services,
Connected Transportation solutions,
Breast Cancer Screening Solutions,
Fresh Produce Selling portal,
Viral Content and storytelling platform,
Multi-lingual AI Platform for Businesses,
Personal Assistant App,
Internet of Things Device manufacturer,
Aptitude Development Program,
Curated Fashion ECommerce portal,
Connected Care App For Pregnant Women,
Virtual health clinics,
Chatbot creation tool,
Placement preparation and career growth training platform,
Mobile games developer,
Computer Vision And Artificial Intelligence (Ai) Platform,
Cloud-based Software,
Personal Genomics,
Mobile Solutions for Social Impact,
Digital Design,
Education eCommerce platform,
Art,
Marketplace for International Freight,
Border Intrusion Alert Solutions,
Intelligent Sales Assistant,
Online Fruit & Vegetable Marketplace,
Startup Crowd-funding platform,
Health Food / Personal Care Marketplace,
Tech driven Insurance platform,
Virtual Reality Content Studio,
Data as a Service Provider,
Sports Nutrition Supplement etailer,
Mens Wear,
Marketing Cloud for consumer businesses,
Artificial Intelligence Platform to Raise Funds,
Babycare Products seller,
Fruit & vegetable eTailer,
Contactless Payment Solution,
Enterprise IoT solutions For Tyre Performance,
Business Intelligence Solutions,
Travel ECommerce portal,
Healthcare based Tech Solutions,
Online Crowdfunding Platform,
Online Tea Store,
Cloud-based solutions provider,
Health Food etailer,
Operations and manpower outsourcing,
Art & Lifestyle ECommerce Store,
Fruits & vegetable eTailer,
Mobile App Analytics,
Augmented Reality based Tech platform,
Frozen Meat provider,
Electric Motorcycle Manufacturer,
Bicycle-Sharing Platform,
Crop Technology Solutions,
image Processing solution,
HR Software Services Startup,
Coding Skill Showcase & Resume Builder,
Mobile based eCommerce SAAS platform,
Warehouse Aggregator,
B2B Wholesale Marketplace in India,
Fashion Rental Marketplace,
Data Analytics platform,
College Education Portal,
Home D\\xc3\\xa9cor Product etailer,
medical grade wearable patch maker,
Cloud based ERP for Accreditation & ICT,
Agri Data & Analytics Platform,
End-to-End property management for landlords living away,
Electric Motorcycle manufacturer,
Copper based items etailer,
Healthcare related IoT platform,
Weight loss & Healthcare Info portal,
Specialty Tea ETailer,
Social Healthcare Enterprise,
Gourmet Food etailer,
online babycare products marketplace,
Agre-Tech Mobile app,
Women Hygiene Product Manufacturer,
"On-demand, self-drive bike rental platform",
Cancer radiology,
Integrated eLearning content solutions,
Artificial Intelligence based search platform,
3D printed experimental Human Liver tissue creator,
B2B Marketplace for SMBs,
Hotel Management Solution,
Loyalty program management solutions,
Health Technology platform,
Customer Engagement Platform,
Data Sciences platform,
"Online Marketplace For Handicrafts, Handlooms And Local Produce",
SaaS based Big Data Analytics Platform,
Consumer Finance & Credit Score platform,
Healthcare Analytics Platform,
Specialised diagnostics Platform,
Handicraft products eTailer,
IoT platform for Tyre Performance management & tracking,
Financial platform for daily wage earning communities,
Wearable Gaming Platform,
Lending Platform,
Product Review,
HR Virtual Agent For Employees,
Mobile OS creator,
Hybrid Cloud technology enabled Media ERP platform,
Hyperlocal Products & Services marketplace,
Online Pet Store,
Aadhaar-based API provider,
SAAS based mobile application platform,
Smart wheelchair Design and Development,
Women Work wear etailer,
Dental Protection Solution,
On-demand product rental marketplace,
Advertising Platform for Virtual Reality,
Financial Technology Solutions Provider,
Restaurant Automation Solution,
Cyber Security Startup,
SAAS Based Media Marketing platform,
Artificial Intelligence platform,
Education Services Provider,
Provides Business Insights using Drone Imaginary,
Smart Scooter manufacturer,
Ad optimization Platform,
Mobile Chatbot App,
Fashion Re-Commerce Platform,
Eyewear etailing platform,
Fashion Resale Marketplace,
Specialty Coffee Etailer,
Kids Focused eTailer,
Data Analytics Platform,
"digital employee solutions,",
Fashion ecommerce portal,
Enhanced Employee Engagement Platform,
B2B Marketplace for Shoes,
Machine Learning Access platform,
AI based data analytics platform,
Healthy & Nutrition based snacks online platform,
Medical Technology Provider,
Online Gifting Platform,
Blended Learning Delivery App for Schools & Corporates,
Online marketplace for used automobiles,
Online Baby care Products,
Healthcare Technology Solutions,
B2B Marketplace for traders,
Restaurant Management Solutions,
Cloud Based Practice Management Software,
Cyber Security Solution provider,
Raw Pressed Juices manufacturer,
Digital Marketing Agency,
Children Education Platform,
Online Healthcare Aggregator,
Process management startup,
Financial Technology Research Platform,
Private Fashion Brand etailer,
Enterprise customer engagement solutions,
Travel-Focused Tech Startup,
Platform based on 3D printing and Digital Manufacturing,
Workspace Rentals,
Cold Chain monitoring solution,
Visual and Interactive communications Solutions,
Eco-friendly consumer & packaging products,
Image Analysis Solutions,
Competitive Exam learning platform,
Automotive Design and Engineering company,
Clean Tech Startup,
NanoTech product developer,
Auto Parts & Accessories eTailer,
Platform for Social Causes,
Door Step Delivery platform,
Online Grocery Etailer,
Fashion and Shopping,
Entry level hiring platform,
Marketplace for Health Foods,
Sports Focused Healthcare Startup,
On-Demand Delivery Startup,
Weigh Loss Coaching,
Skincare Speciality services,
Pre-Owned Fashion marketplace mobile app,
Safety & Hygiene Products etailer,
Marketing & Customer Analytics Solutions,
Agriculture Supply Chain management solutions,
Marketplace for organic products,
Online Eyewear eTailer,
Online event ticketing Platform,
Salons & Spa Chain,
IT Risk Assessment and Digital Security Services provider.,
Food Related Marketing & Branding platform,
Online marketplace for kitchen products,
End-to-End Seller e-commerce solutions Provider,
Medical Devices Kit manufacturer,
Courier Logistics & Order management Solutions,
IT Security & Data Management Services,
Data Analytics based Customer Management Services,
Family Stem Cell Banking Services,
Farming rental equipment provider,
Household packaging & Storage product manufacturer,
Organic Food eTailer,
DIY project Kits seller,
Connectivity platform for local grocery stores,
Healthy food manufacturing & sales startup,
An Artificial Intelligence-Based Recruitment Platform,
Vehicle loan approval platform,
Express Logistics Network,
ECommerce Marketing Software,
Education Institution Management Solutions,
eyewear eTailer,
Audio Visual Digital Content creators for Brands,
Content marketing platform,
Startup Funding Deal Discovery & Execution platform,
B2B Procurement Marketplace for Office Products,
Healthcare Product Manufacturer,
Patient Financing Platform,
Online fresh fruits and grocery store,
B2B Marketplace for Handicrafts,
Footwear & Leather B2B App,
TV to Mobile audience Platform,
Location tracking solutions,
Pregnancy & Baby Care etailer,
Luxury Fashion Marketplace,
Indian Burger Brand,
Online Healthcare provider,
Relocation Service provider,
Online Marketplace for books,
Sustainable Green Tech Solution developer,
Freight Logistics Marketplace,
Cloud Solutions provider,
Cancer therapeutic Info & Solutions,
IT services & Talent collaboration services startup,
Beauty and Grooming,
Micro finance institution providing small ticket unsecured loans to women,
Online Hotel Reservation Platform,
Peer-to-Peer Lending Platform,
Digital Lending Platform In Logistics,
Software Solutions for Auto Dealership,
AI Driven Health tech Platform,
Weather Forecast Platform,
Clinical research and data analytics,
Full Service Ecommerce Agency,
Online vehicle service booking platform,
Med-tech Platform Providing Care For Newborns,
Mobile App Tech Solutions,
Field Force Automation System,
Premium Tea & Coffee Capsules maker,
IoT based air pollution controller,
B2B SAAS based product,
Converged Backup & Data Protection Solutions for Enterprises,
Medical Video Consultation platform,
Artificial Intellegence,
Consumer IoT Startup,
Construction Material Marketplace,
Online B2B Marketplace,
Technology-Empowered Healthcare Solutions,
Connected Smart Home Solutions,
AI-powered anti-fraud solutions,
Healthcare training programs,
AI-based chatbot,
Audit automation Solutions,
Health Food Restaurant Chain,
Online Grocers,
unmanned aerial vehicles creator,
Social commerce platform,
"Sweets, Eatables, Handicrafts Online Marketplace",
Treasury Risk Management Solution,
Ecommerce Fulfilment and Technology Platform,
Online Water Pumps etailer,
Online Discovery and Shopping Platform,
Artificial Intelligence Platform,
Women\\xe2\\x80\\x99s Fashion ECommerce Portal,
Remote Healthcare Delivery Solutions,
Personalized fitness coaching & Fitness band,
Health Food Maker,
Yogurt and Ice Cream maker,
Social Commerce\\xc2\\xa0 Fashion platform,
B2B platform for Merchants & Retailers,
Mobile based travel ERP platform,
Raw Meat Products eTailer,
Diamond B2B eTailer,
Real-Estate Workflow mobile app,
User analytics and engagement platform,
eCommerce product discovery software,
Cyber-Security Solutions Provider,
Credit Worthiness Big Data Analytics,
Indian Startup ecosystem trends analyzer & funding platform,
Co-Working Space Provider,
Rolls & Biryanis QSR chain,
Home Improvement Marketplace,
Women Intimate Wear eTailer,
Sports Arena discovery,
Mobile Apps & Tech Services provider,
